protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D4,8IRU,Cn1cnc(n1)-c1ccc2n(cc(C3CCN(CCN4CCNC4=O)CC3)c2c1)-c1ccc(F)cc1,Ki,3000,5.522878745
Dopamine RECEPTOR D4,8IRU,Cc1[nH]c2ccccc2c1CN1CCC(O)(CC1)c1ccc(Cl)cc1,Ki,2990,5.524328812
Dopamine RECEPTOR D4,8IRU,CCN1c2ccccc2CCC(N2CCN(Cc3ccc(C)cc3)CC2)C1=O,Ki,2960,5.528708289
Dopamine RECEPTOR D4,8IRU,C[C@H]1CO[C@H](CN1C[C@@H]1C[C@H]1CCNC(=O)c1cc2ccccc2[nH]1)c1ccc(N)nc1,Ki,2930,5.53313238
Dopamine RECEPTOR D4,8IRU,CN1CCN(CC1)C1=Cc2cc(Cl)ccc2Cc2ccccc12,Ki,2900,5.537602002
Dopamine RECEPTOR D4,8IRU,CC(C)NCC(O)c1ccc(O)c(O)c1,Ki,2900,5.537602002
Dopamine RECEPTOR D4,8IRU,Cl.CCCN(CCCCNC(=O)c1ccc(cc1)-c1ccccn1)CC1CC1c1ccc(F)cc1,Ki,2884,5.540004744
Dopamine RECEPTOR D4,8IRU,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,Ki,2870,5.542118103
Dopamine RECEPTOR D4,8IRU,COc1ccc2Cc3ccccc3CCCN(C)CCCc2c1,Ki,2869,5.542269452
Dopamine RECEPTOR D4,8IRU,Cc1sc(C)c-2c1CCc1cn(C)nc-21,Ki,2866,5.542723814
Dopamine RECEPTOR D4,8IRU,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,Ki,2860,5.543633967
Dopamine RECEPTOR D4,8IRU,OC1(CCN(Cc2c[nH]c3ccccc23)CC1)c1ccccc1Cl,Ki,2820,5.549750892
Dopamine RECEPTOR D4,8IRU,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,Ki,2800,5.552841969
